"","titulo","autor","precio","enlace","id_libro","editorial","paginas","anio","precio_pag"
"488","COMO TRIUNFAR EN UNA ENTREVISTA DE TRABAJO","PEA LLAMAS, MARIO","37195.00","https://cuspide.com/producto/como-triunfar-en-una-entrevista-de-trabajo/",488,"FUNDACION CONFEMETAL
","10
","01/01/2024
",3719.5
"489","COMO MANEJAR LOS CONFLICTOS EN EL TRABAJO","MURPHY, JIM","21504.00","https://cuspide.com/producto/como-manejar-los-conflictos-en-el-trabajo/",489,"FUNDACION CONFEMETAL
","10
","01/01/2024
",2150.4
"490","COMO CONSOLIDAR EL CRECIMIENTO DE TU EMPRESA","MEDRANO SOLA, CARLOS","39144.00","https://cuspide.com/producto/como-consolidar-el-crecimiento-de-tu-empresa/",490,"FUNDACION CONFEMETAL
","10
","01/01/2024
",3914.4
"491","ATENCION SANITARIA",NA,"54936.00","https://cuspide.com/producto/atencion-sanitaria/",491,"PARANINFO
","10
","01/01/2014
",5493.6
"492","CREATIVIDAD SIMPLE Y FACIL","ROSMAN, JUAN CARLOS","14100.00","https://cuspide.com/producto/creatividad-simple-y-facil/",492,"CORREGIDOR
","224
","01/01/2016
",62.9464285714286
"493","COMUNICACION INTERCULTURAL","CELEDON, MARGARITA","39144.00","https://cuspide.com/producto/comunicacion-intercultural/",493,"FUNDACION CONFEMETAL
","10
","01/01/2024
",3914.4
"494","UNA HISTORIA ECONOMICA ( INCONFORMISTA ) DE LOS ESTADOS UNIDOS  1865 – 1980","NIGRA, FABIO","25000.00","https://cuspide.com/producto/una-historia-economica-inconformista-de-los-estados-unidos-1865-1980/",494,"MAIPUE
","264
","01/01/2008
",94.6969696969697
"495","LA ECONOMIA SOCIAL DEL SIGLO XXI","ELGUE, MARIO CESAR","21300.00","https://cuspide.com/producto/la-economia-social-del-siglo-xxi/",495,"CORREGIDOR
","368
","01/01/2015
",57.8804347826087
"496","MISION RESULTADO","VEIGA, JOSE ANTONIO","21000.00","https://cuspide.com/producto/mision-resultado/",496,"UGERMAN EDITOR
","302
","01/01/2006
",69.5364238410596
"497","DIRECCION DE ORGANIZACIONES SOCIALES","MAGLIERI, GUSTAVO HUGO","17600.00","https://cuspide.com/producto/direccion-de-organizaciones-sociales/",497,"UGERMAN EDITOR
","320
","01/01/2003
",55
"498","PROBLEMAS DE DEFENSA DE LA COMPETENCIA","PETRECOLLA, DIEGO; RUZZIER, CH...","19990.00","https://cuspide.com/producto/problemas-de-defensa-de-la-competencia/",498,"TEMAS GRUPO EDITORIAL
","254
","01/01/2003
",78.7007874015748
"499","LOS INTANGIBLES EN EL VALOR DE LAS EMPRESAS","ALVAREZ, FAUSTO TIMOTEO","30240.00","https://cuspide.com/producto/los-intangibles-en-el-valor-de-las-empresas/",499,"DIAZ DE SANTOS
","252
","01/01/2017
",120
"500","COMPENDIO BURSATIL","HERNANDEZ BLAZQUEZ, BENJAMIN","26157.00","https://cuspide.com/producto/compendio-bursatil/",500,"DIAZ DE SANTOS
","330
","01/01/2017
",79.2636363636364
"501","CAMBIA EL GUION","ALONSO, CARLOS","15480.00","https://cuspide.com/producto/cambia-el-guion/",501,"DIAZ DE SANTOS
","324
","01/01/2013
",47.7777777777778
"502","PRACTICUM DE PSICOLOGIA","PASTOR, MARIA ANGELES; LOPEZ, ...","19986.00","https://cuspide.com/producto/practicum-de-psicologia/",502,"DIAZ DE SANTOS
","184
","01/01/2013
",108.619565217391
"503","GESTION EMPRESARIAL DE LA AGENCIA DE PUBLICIDAD","FERRER LORENZO, I.","18852.00","https://cuspide.com/producto/gestion-empresarial-de-la-agencia-de-publicidad/",503,"DIAZ DE SANTOS
","296
","01/01/2013
",63.6891891891892
"504","LA ESTRATEGIA EXPRESIONISTA","ARJONA, M.","21651.00","https://cuspide.com/producto/la-estrategia-expresionista/",504,"DIAZ DE SANTOS
","324
","01/01/2013
",66.8240740740741
"505","LOS HABITOS DE UN DIRECTOR DE PROYECTOS EFICAZ","BARATO, JOSE","18852.00","https://cuspide.com/producto/los-habitos-de-un-director-de-proyectos-eficaz/",505,"DIAZ DE SANTOS
","10
","01/01/2013
",1885.2
"506","LA DIRECCION DE PROYECTOS","BUCERO, A.","28554.00","https://cuspide.com/producto/la-direccion-de-proyectos/",506,"DIAZ DE SANTOS
","10
","01/01/2013
",2855.4
"507","INNOVACION  INNOVADORES Y EMPRESA INNOVADORA","CORMA CANOS, FRANCISCO","19170.00","https://cuspide.com/producto/innovacion-innovadores-y-empresa-innovadora/",507,"DIAZ DE SANTOS
","190
","01/01/2011
",100.894736842105
"508","NEGOCIANDO CON LOBOS","MALARET, JUAN","18852.00","https://cuspide.com/producto/negociando-con-lobos/",508,"DIAZ DE SANTOS
","168
","01/01/2011
",112.214285714286
"509","ID INNOVADORES DISRUPTIVOS . EL NUEVO LIDERAZGO EN ENTORNOS DIGITALES.","LANUQUE, ALEJANDRO","18900.00","https://cuspide.com/producto/id-innovadores-disruptivos-el-nuevo-liderazgo-en-entornos-digitales/",509,"DUNKEN SRL
","10
","01/01/2022
",1890
"510","LA VENTA CONSULTIVA DE SEGUROS DE VIDA Y RETIRO","PISANO, ALEJANDRO","35000.00","https://cuspide.com/producto/la-venta-consultiva-de-seguros-de-vida-y-retiro/",510,"DUNKEN SRL
","10
","01/01/2022
",3500
"511","ESTADISTICA  HERRAMIENTAS DE INFERENCIA","KURINCIC, GABRIELA","37750.00","https://cuspide.com/producto/estadistica-herramientas-de-inferencia/",511,"COOPERATIVAS
","404
","01/01/2001
",93.4405940594059
"512","LA DECISION","PAVESI, PEDRO F. J.","16500.00","https://cuspide.com/producto/la-decision-2/",512,"COOPERATIVAS
","152
","01/01/2000
",108.552631578947
"513","ANALISIS DE SERIES DE TIEMPO","URBISAIA, HERIBERTO L.; BRUFMA...","27300.00","https://cuspide.com/producto/analisis-de-series-de-tiempo/",513,"COOPERATIVAS
","288
","01/01/2001
",94.7916666666667
"514","LA PLENITUD","GOLD, RICH","25000.00","https://cuspide.com/producto/la-plenitud/",514,"GEDISA
","160
","01/01/2009
",156.25
"515","MANAGEMENT EN 1 MINUTO","SKEF, MARIELA","15000.00","https://cuspide.com/producto/management-en-1-minuto/",515,"DUNKEN SRL
","10
","01/01/2021
",1500
"516","HISTORIA ECONOMICA DE LA ARGENTINA","BELINI, CLAUDIO","27990.00","https://cuspide.com/producto/historia-economica-de-la-argentina/",516,"SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","400
","01/01/2020
",69.975
"517","ENDEUDAR Y FUGAR (EDICION 2020)","BASUALDO, EDUARDO","26190.00","https://cuspide.com/producto/endeudar-y-fugar-edicion-2020/",517,"SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","10
","01/01/2020
",2619
"518","LOGISTICA DE APROVISIONAMIENTO","LOPEZ HERNANDEZ, RODRIGO","41294.50","https://cuspide.com/producto/logistica-de-aprovisionamiento/",518,"PARANINFO
","228
","01/01/2014
",181.116228070175
"519","EL PRECIO DEL EXITO","BERNAT, AGUSTIN","10000.00","https://cuspide.com/producto/el-precio-del-exito/",519,"DUNKEN SRL
","144
","01/01/2019
",69.4444444444444
"520","LA MICROECONOMIA : GENESIS DE LOS COSTOS DE LA EMPRESA","MERCADE, MARCELO","20000.00","https://cuspide.com/producto/la-microeconomia-genesis-de-los-costos-de-la-empresa/",520,"DUNKEN SRL
","10
","01/01/2019
",2000
"521","CALIDAD","ALCALDE SAN MIGUEL, PABLO","53894.50","https://cuspide.com/producto/calidad/",521,"PARANINFO
","260
","01/01/2010
",207.286538461538
"522","PROBLEMAS RESUELTOS DE ADMINISTRACION DE LA PRODUCCION Y OPERACIONES","CARNERO MOYA, MARIA CARMEN","52046.50","https://cuspide.com/producto/problemas-resueltos-de-administracion-de-la-produccion-y-operaciones/",522,"PARANINFO
","10
","01/01/2014
",5204.65
"523","TECNICAS DE ALMACEN","ESCUDERO SERRANO, MARIA JOSE","50265.50","https://cuspide.com/producto/tecnicas-de-almacen/",523,"PARANINFO
","10
","01/01/2016
",5026.55
"524","PORQUE EUROPA ?","DELFICO, ALBERTO","10000.00","https://cuspide.com/producto/porque-europa/",524,"TAHIEL EDICIONES
","170
","01/01/2020
",58.8235294117647
"525","CULTURA DE PODER O EL PODER DE LA CULTURA? UN VIAJE A LA INTRINCADA TRAMA D","IRIBARNE, NICOLAS","11200.00","https://cuspide.com/producto/cultura-de-poder-o-el-poder-de-la-cultura-un-viaje-a-la-intrincada-trama-d/",525,"DUNKEN SRL
","10
","01/01/2021
",1120
"526","COMO NEGOCIAR EFICAZMENTE","OLIVER, DAVID","14600.00","https://cuspide.com/producto/como-negociar-eficazmente/",526,"GEDISA
","144
","01/01/2005
",101.388888888889
"527","PRESENTE INFORMES Y PROPUESTAS EFICACES","FORSYTH, PATRICK","13800.00","https://cuspide.com/producto/presente-informes-y-propuestas-eficaces/",527,"GEDISA
","144
","01/01/2005
",95.8333333333333
"528","COMO ADMINISTRAR SU TIEMPO","FORSYTH, PATRICK","14200.00","https://cuspide.com/producto/como-administrar-su-tiempo/",528,"GEDISA
","176
","01/01/2009
",80.6818181818182
"529","COMO SER UN LIDER EFICAZ","EALES-WHITE, RUPERT","15900.00","https://cuspide.com/producto/como-ser-un-lider-eficaz/",529,"GEDISA
","192
","01/01/2005
",82.8125
"530","SEA SU PROPIO JEFE","MCMULLAN, DAVID","13800.00","https://cuspide.com/producto/sea-su-propio-jefe/",530,"GEDISA
","160
","01/01/2005
",86.25
"531","ORIENTACION HACIA EL FUTURO","BINNEY, GEORGE; WILLIAMS, COLI...","18000.00","https://cuspide.com/producto/orientacion-hacia-el-futuro/",531,"ALGABA
","240
","01/01/2003
",75
"532","LA GRAN CONVERGENCIA","BALDWIN, RICHARD","46002.50","https://cuspide.com/producto/la-gran-convergencia/",532,"ANTONI BOSCH
","350
","01/01/2017
",131.435714285714
"533","TELEMETROPOLIS","MICHELI THIRION, JORDY","16600.00","https://cuspide.com/producto/telemetropolis/",533,"GEDISA
","214
","01/01/2017
",77.5700934579439
"534","EL DESAFIO DEL LIDERAZGO","KOUZES, JAMES M.","34133.50","https://cuspide.com/producto/el-desafio-del-liderazgo/",534,"REVERTE
","10
","01/01/2018
",3413.35
"535","LA VERTIGINOSA ADAPTABILIDAD DE LOS MERCADOS FINANCIEROS","LO, ANDREW W.","53487.00","https://cuspide.com/producto/la-vertiginosa-adaptabilidad-de-los-mercados-financieros/",535,"ANTONI BOSCH
","538
","01/01/2018
",99.4182156133829
"536","MAQUINAS PREDICTIVAS","AGRAWAL, AJAY","24721.00","https://cuspide.com/producto/maquinas-predictivas/",536,"REVERTE
","320
","01/01/2019
",77.253125
"537","LA MENTE DEL LIDER","HOUGAARD, RASMUS","25931.00","https://cuspide.com/producto/la-mente-del-lider/",537,"REVERTE
","320
","01/01/2019
",81.034375
"538","EL LIDER DE ALTO POTENCIAL","CHARAN, RAM","25931.00","https://cuspide.com/producto/el-lider-de-alto-potencial/",538,"REVERTE
","10
","01/01/2019
",2593.1
"539","CAMBIANDO EL COMPORTAMIENTO DE LOS EMPLEADOS","KINLEY, NIK","25931.00","https://cuspide.com/producto/cambiando-el-comportamiento-de-los-empleados/",539,"REVERTE
","306
","01/01/2019
",84.7418300653595
"540","CREATIVIDAD","RAJADELL, MANEL","29635.00","https://cuspide.com/producto/creatividad-2/",540,"REVERTE
","308
","01/01/2019
",96.2175324675325
"541","INTELIGENCIA EMOCIONAL : COMO TRATAR CON GENTE DIFICIL",NA,"15536.00","https://cuspide.com/producto/inteligencia-emocional-como-tratar-con-gente-dificil/",541,"REVERTE
","150
","01/01/2019
",103.573333333333
"542","PROBLEMAS DE CALCULO PARA LA ECONOMIA Y LA EMPRESA","ALBADALEJO, ISABEL PILAR","27249.50","https://cuspide.com/producto/problemas-de-calculo-para-la-economia-y-la-empresa/",542,"TEBAR
","264
","01/01/2019
",103.217803030303
"543","INNOVACION","DODGSON, MARK","26989.00","https://cuspide.com/producto/innovacion/",543,"ANTONI BOSCH
","206
","01/01/2019
",131.014563106796
"544","MEJORA TU PRODUCTIVIDAD",NA,"25364.00","https://cuspide.com/producto/mejora-tu-productividad/",544,"REVERTE
","10
","01/01/2018
",2536.4
"545","FINANZAS BASICAS",NA,"25288.00","https://cuspide.com/producto/finanzas-basicas-2/",545,"REVERTE
","182
","01/01/2017
",138.945054945055
"546","GESTION DE PROYECTOS",NA,"25288.00","https://cuspide.com/producto/gestion-de-proyectos/",546,"REVERTE
","192
","01/01/2016
",131.708333333333
"547","AL LIDERAZGO POR LA VENTA","ALMUNIA, JOSE LUIS","24456.50","https://cuspide.com/producto/al-liderazgo-por-la-venta/",547,"STARBOOKS
","144
","01/01/2011
",169.836805555556
"548","LAS REGLAS NO ESCRITAS PARA TRIUNFAR EN LA EMPRESA","CANALES MORA, ROBERTO","43621.00","https://cuspide.com/producto/las-reglas-no-escritas-para-triunfar-en-la-empresa/",548,"STARBOOKS
","548
","01/01/2009
",79.6003649635037
"549","ESPECULACIONES Y TENDENCIAS","BARBOSA, PEDRO","32659.00","https://cuspide.com/producto/especulaciones-y-tendencias/",549,"STARBOOKS
","136
","01/01/2010
",240.139705882353
"550","INVENTARIOS","GUERRERO SALAS, HUMBERTO","32659.00","https://cuspide.com/producto/inventarios-2/",550,"STARBOOKS
","192
","01/01/2010
",170.098958333333
"551","PROCESOS PRODUCTIVOS","VEGA MAZA, IGNACIO","43583.50","https://cuspide.com/producto/procesos-productivos/",551,"STARBOOKS
","392
","01/01/2010
",111.182397959184
"552","INVESTIGACION COMERCIAL","VALDERREY SANZ, PABLO","40446.00","https://cuspide.com/producto/investigacion-comercial-4/",552,"STARBOOKS
","172
","01/01/2010
",235.151162790698
"553","COMO ENTENDER LAS FINANZAS DE HOY","DIEZ TORCA, IGNACIO","43999.00","https://cuspide.com/producto/como-entender-las-finanzas-de-hoy/",553,"ANTONI BOSCH
","216
","01/01/2010
",203.699074074074
"554","EL FUTURO DE EUROPA","ALESINA, ALBERTO; GIAVAZZI, FR...","35192.00","https://cuspide.com/producto/el-futuro-de-europa/",554,"ANTONI BOSCH
","174
","01/01/2009
",202.252873563218
"555","SOÑAR SIN LIMITES","PERES, SHIMON","41200.00","https://cuspide.com/producto/sonar-sin-limites/",555,"NAGRELA EDICIONES
","160
","01/01/2020
",257.5
"556","LA CRISIS GLOBAL","TOUSSAINT, ERIC","31690.00","https://cuspide.com/producto/la-crisis-global/",556,"DE INTERVENCION CULTURAL
","206
","01/01/2010
",153.834951456311
"557","LA CIUDAD EN LLAMAS","CASASSAS, DAVID","40290.00","https://cuspide.com/producto/la-ciudad-en-llamas/",557,"DE INTERVENCION CULTURAL
","466
","01/01/2010
",86.4592274678112
"558","NO SON SOLO ALGUNAS MANZANAS PODRIDAS","DE VELASCO, LUIS","32790.00","https://cuspide.com/producto/no-son-solo-algunas-manzanas-podridas/",558,"DE INTERVENCION CULTURAL
","206
","01/01/2010
",159.174757281553
"559","PROSPERIDAD Y VIOLENCIA","BATES, ROBERT H.","33717.50","https://cuspide.com/producto/prosperidad-y-violencia/",559,"ANTONI BOSCH
","160
","01/01/2004
",210.734375
"560","ECONOMIA DEL DESARROLLO","RAY, DEBRAJ","101909.00","https://cuspide.com/producto/economia-del-desarrollo/",560,"ANTONI BOSCH
","856
","01/01/2003
",119.052570093458
"561","PRECIOS Y OLIGOPOLIO","VIVES, XAVIER","77112.00","https://cuspide.com/producto/precios-y-oligopolio/",561,"ANTONI BOSCH
","448
","01/01/2001
",172.125
"562","FUNDAMENTOS DE MATEMATICAS FINANCIERAS","NAVARRO, ELISEO; NAVE, JUAN M.","46116.00","https://cuspide.com/producto/fundamentos-de-matematicas-financieras/",562,"ANTONI BOSCH
","280
","01/01/2001
",164.7
"563","GANADORES Y PERDEDORES","LEVIS, KIERAN","19000.00","https://cuspide.com/producto/ganadores-y-perdedores/",563,"CLARIDAD
","366
","01/01/2010
",51.9125683060109
"564","TEXTOS ESENCIALES JOHN MAYNARD KEYNES","KEYNES, JOHN","19900.00","https://cuspide.com/producto/textos-esenciales-john-maynard-keynes/",564,"LEA
","192
","01/01/2018
",103.645833333333
"565","BUSINESS INTELLIGENCE","SZERMAN, NORBERTO","21890.00","https://cuspide.com/producto/business-intelligence/",565,"USERS
","320
","01/01/2015
",68.40625
"566","MERCADOS RADICALES","POSNER, ERIC A.","47968.00","https://cuspide.com/producto/mercados-radicales/",566,"ANTONI BOSCH
","354
","01/01/2019
",135.502824858757
"567","PROXIMA PARADA : DE LA REVOLUCION A LA ACCION","MONFORT, NORBERT","11000.00","https://cuspide.com/producto/proxima-parada-de-la-revolucion-a-la-accion/",567,"EDICIONES LOGOS
","224
","01/01/2017
",49.1071428571429
"568","ECONOMIA DESDE EL CORAZON","DELGADO Y UGARTE, JOSU IMANOL","28000.00","https://cuspide.com/producto/economia-desde-el-corazon/",568,"DIAZ DE SANTOS
","364
","01/01/2021
",76.9230769230769
"569","ZEN COACHING","CARRIL, JAVIER","33930.00","https://cuspide.com/producto/zen-coaching/",569,"DIAZ DE SANTOS
","252
","01/01/2021
",134.642857142857
"570","ECONOMIA Y SOCIEDAD","GARCIA ECHEVERRIA, SANTIAGO","32976.00","https://cuspide.com/producto/economia-y-sociedad/",570,"DIAZ DE SANTOS
","222
","01/01/2021
",148.540540540541
"571","EL TRAJE NUEVO DEL BANQUERO","ADMATI, ANAT","54054.00","https://cuspide.com/producto/el-traje-nuevo-del-banquero/",571,"ANTONI BOSCH
","556
","01/01/2013
",97.2194244604317
"572","SE ACABO LA CLASE MEDIA","COWEN, TYLER","46040.50","https://cuspide.com/producto/se-acabo-la-clase-media/",572,"ANTONI BOSCH
","280
","01/01/2016
",164.430357142857
"573","TRUE PROFIT !","SIMON, HERMANN","37110.00","https://cuspide.com/producto/true-profit/",573,"DIAZ DE SANTOS
","216
","01/01/2022
",171.805555555556
"574","ESTUDIOS DE ADMINISTRACION","HERNANDEZ HERRERA, CLAUDIA ALE...","33930.00","https://cuspide.com/producto/estudios-de-administracion/",574,"DIAZ DE SANTOS
","197
","01/01/2022
",172.233502538071
"575","ENSAYOS SOBRE LOS PRINCIPIOS DE ECONOMIA POLITICA Y TRIBUTACION","KICILLOF, AXEL","12440.00","https://cuspide.com/producto/ensayos-sobre-los-principios-de-economia-politica-y-tributacion/",575,"COOPERATIVAS
","88
","01/01/2012
",141.363636363636
"576","PERSONAS INNOVADORAS , ORGANIZACIONES VIVAS","CELADES, VANESA","19086.00","https://cuspide.com/producto/personas-innovadoras-organizaciones-vivas/",576,"DIAZ DE SANTOS
","110
","01/01/2022
",173.509090909091
"577","EL DIRECTOR DE CALIDAD EN EMPRESAS DE ALOJAMIENTO Y RESTAURACION","MARTI FABREGO, NARCIS","44532.00","https://cuspide.com/producto/el-director-de-calidad-en-empresas-de-alojamiento-y-restauracion/",577,"DIAZ DE SANTOS
","264
","01/01/2022
",168.681818181818
"578","ECONOMIA ANIMAL","BRODSCHI, EZEQUIEL","33550.00","https://cuspide.com/producto/economia-animal/",578,"COOPERATIVAS
","194
","01/01/2011
",172.938144329897
"579","SISTEMAS DE INFORMACION PARA ORGANIZACION Y ADMINISTRACION DE COOPERATIVAS","CHAB, CLAUDIO DANIEL","27900.00","https://cuspide.com/producto/sistemas-de-informacion-para-organizacion-y-administracion-de-cooperativas/",579,"COOPERATIVAS
","80
","01/01/2011
",348.75
"580","EL LIBRO DE LA NEGOCIACION","PUCHOL, LUIS","28935.00","https://cuspide.com/producto/el-libro-de-la-negociacion-3/",580,"DIAZ DE SANTOS
","288
","01/01/2021
",100.46875
"581","CRISIS GLOBAL O CRISIS SISTEMICA","GORANSKY, JACOB","22000.00","https://cuspide.com/producto/crisis-global-o-crisis-sistemica/",581,"COOPERATIVAS
","266
","01/01/2010
",82.7067669172932
"582","EL MAGNETISMO DEL NEGOCIADOR","PALACIOS PLAZA, JORGE","24249.00","https://cuspide.com/producto/el-magnetismo-del-negociador/",582,"DIAZ DE SANTOS
","276
","01/01/2017
",87.8586956521739
"583","EL DOMINIO DE LA INFORMACION UNA GUIA ESTRATEGICA ECONOMIA DE RED","SHAPIRO, CARL; VARIAN, HAL R.","47250.00","https://cuspide.com/producto/el-dominio-de-la-informacion-una-guia-estrategica-economia-de-red/",583,"ANTONI BOSCH
","338
","01/01/1999
",139.792899408284
"584","EL LIBRO DE LAS HABILIDADES DIRECTIVAS","PUCHOL, LUIS","79000.00","https://cuspide.com/producto/el-libro-de-las-habilidades-directivas/",584,"DIAZ DE SANTOS
","472
","01/01/2017
",167.372881355932
"585","27 NUEVOS CASOS EN DIRECCION Y GESTION DE RECURSOS HUMANOS","PUCHOL, LUIS","25512.00","https://cuspide.com/producto/27-nuevos-casos-en-direccion-y-gestion-de-recursos-humanos/",585,"DIAZ DE SANTOS
","316
","01/01/2017
",80.7341772151899
"586","ECONOMIA Y JUEGOS","VEGA REDONDO, FERNANDO","39765.50","https://cuspide.com/producto/economia-y-juegos/",586,"ANTONI BOSCH
","304
","01/01/2000
",130.807565789474
"587","DESARROLLO  GEOGRAFIA Y TEORIA ECONOMICA","KRUGMAN, PAUL","31979.00","https://cuspide.com/producto/desarrollo-geografia-y-teoria-economica/",587,"ANTONI BOSCH
","114
","01/01/1997
",280.517543859649
"588","JUEGOS PARA EMPRESARIOS Y ECONOMISTAS","GARDNER, ROY","65280.50","https://cuspide.com/producto/juegos-para-empresarios-y-economistas/",588,"ANTONI BOSCH
","548
","01/01/1996
",119.125
"589","ESTADISTICA","FREEDMAN, DAVID; ADHIKI, ANI; ...","70005.50","https://cuspide.com/producto/estadistica-2/",589,"ANTONI BOSCH
","768
","01/01/1993
",91.1529947916667
"590","GESTION Y ORGANIZACION DE LA EMPRESA AGRARIA","MORENO VEGA, JOSE MARIA","32222.50","https://cuspide.com/producto/gestion-y-organizacion-de-la-empresa-agraria/",590,"MUNDI-PRENSA
","184
","01/01/2019
",175.122282608696
"591","METODOS DE VALORACION INMOBILIARIA","GUADALAJARA OLMEDA, NATIVIDAD","41227.00","https://cuspide.com/producto/metodos-de-valoracion-inmobiliaria/",591,"MUNDI-PRENSA
","10
","01/01/2016
",4122.7
"592","CONSIGA EL EXITO EN SU TRAYECTORIA PROFESIONAL","LLADO, JAIME; VALLS, ANTONIO","28440.00","https://cuspide.com/producto/consiga-el-exito-en-su-trayectoria-profesional/",592,"GESTION 2000
","176
","01/01/1997
",161.590909090909
"593","LA EXCELENCIA EN EL PROCESO DE DESARROLLO DE NUEVOS PRODUCTOS","BARBA, ENRIC","34254.00","https://cuspide.com/producto/la-excelencia-en-el-proceso-de-desarrollo-de-nuevos-productos/",593,"GESTION 2000
","184
","01/01/1993
",186.163043478261
"594","LA VENTA INTEGRAL LA FORMULA TODOS VENDEDORES",NA,"15480.00","https://cuspide.com/producto/la-venta-integral-la-formula-todos-vendedores/",594,"DIAZ DE SANTOS
","168
","01/01/1994
",92.1428571428571
"595","EL LIBRO DEL EMPRENDEDOR","PUCHOL, LUIS","15480.00","https://cuspide.com/producto/el-libro-del-emprendedor/",595,"DIAZ DE SANTOS
","176
","01/01/2005
",87.9545454545455
"596","DEL CAMBIO OPERATIVO AL CAMBIO ESTRUCTURAL","FERNANDEZ ISOIRD, CARLOS","15480.00","https://cuspide.com/producto/del-cambio-operativo-al-cambio-estructural/",596,"DIAZ DE SANTOS
","168
","01/01/2005
",92.1428571428571
"597","CALIDAD EN LOS SERVICIOS EDUCATIVOS","SENLLE, ANDRES; GUTIERREZ, NIL...","16689.00","https://cuspide.com/producto/calidad-en-los-servicios-educativos/",597,"DIAZ DE SANTOS
","10
","01/01/2003
",1668.9
"598","EL MITO DE LA MOTIVACION","SPRENGER, REINHARD K.","28554.00","https://cuspide.com/producto/el-mito-de-la-motivacion/",598,"DIAZ DE SANTOS
","336
","01/01/2005
",84.9821428571429
"599","GESTION DE PROMOCIONES INMOBILIARIAS","MONTOYA MATEOS, PATRICIO","15480.00","https://cuspide.com/producto/gestion-de-promociones-inmobiliarias/",599,"DIAZ DE SANTOS
","160
","01/01/2004
",96.75
"600","EL FIN DEL HAMBRE EN 2025","TRUEBA, IGNACIO","68678.50","https://cuspide.com/producto/el-fin-del-hambre-en-2025/",600,"MUNDI-PRENSA
","924
","01/01/2006
",74.3273809523809
"601","LOS CONSEJOS DE ADMINISTRACION","RAMIREZ-ESCUDERO VALDEZ, JOSE ...","16689.00","https://cuspide.com/producto/los-consejos-de-administracion/",601,"DIAZ DE SANTOS
","176
","01/01/2004
",94.8238636363636
"602","MANUAL PRACTICO DE DISEÑO DE SISTEMAS PRODUCTIVOS","SUE TORRENTS, ALBERT; ARCUSA P...","32211.00","https://cuspide.com/producto/manual-practico-de-diseno-de-sistemas-productivos/",602,"DIAZ DE SANTOS
","320
","01/01/2004
",100.659375
"603","2. RESPONSABILIDAD SOCIAL DE LAS ORGANIZACIONES","GORROCHATEGUI, NORA; LICANDRO,...","32100.00","https://cuspide.com/producto/2-responsabilidad-social-de-las-organizaciones/",603,"COOPERATIVAS
","326
","01/01/2013
",98.4662576687117
"604","DIMENSION SOCIAL DE LA RSE","GORROCHATEGUI, NORA; KRIEGER, ...","33200.00","https://cuspide.com/producto/dimension-social-de-la-rse/",604,"COOPERATIVAS
","326
","01/01/2013
",101.840490797546
"605","COMPORTAMIENTOS ESTRATEGICOS","FERNANDEZ ISOIRD, CARLOS","15480.00","https://cuspide.com/producto/comportamientos-estrategicos/",605,"DIAZ DE SANTOS
","176
","01/01/2004
",87.9545454545455
"606","EL LIBRO PARA CONSEGUIR UN TRABAJO MEJOR","PUCHOL, LUIS; PUCHOL, ISABEL","15480.00","https://cuspide.com/producto/el-libro-para-conseguir-un-trabajo-mejor/",606,"DIAZ DE SANTOS
","224
","01/01/2004
",69.1071428571429
"607","METODOS DE EVALUACION DE RIESGOS LABORALES","RUBIO ROMERO, JUAN CARLOS","54414.00","https://cuspide.com/producto/metodos-de-evaluacion-de-riesgos-laborales/",607,"DIAZ DE SANTOS
","304
","01/01/2004
",178.993421052632
"608","COACHING Y LIDERAZGO","PAYERAS, JOAN","27612.00","https://cuspide.com/producto/coaching-y-liderazgo/",608,"DIAZ DE SANTOS
","176
","01/01/2004
",156.886363636364
"609","ENTREVISTA PERSONAL","LOPEZ COMBARROS, CARLOS; CUBEI...","15480.00","https://cuspide.com/producto/entrevista-personal/",609,"DIAZ DE SANTOS
","256
","01/01/2004
",60.46875
"610","DIRECCION Y PLANIFICACION ESTRATEGICAS EN LAS EMPRESAS Y ORGANIZACIONES","FERNANDEZ ROMERO, ANDRES","25194.00","https://cuspide.com/producto/direccion-y-planificacion-estrategicas-en-las-empresas-y-organizaciones/",610,"DIAZ DE SANTOS
","240
","01/01/2004
",104.975
"611","AUDITORIAS DE LA CALIDAD PARA MEJORAR SU COMPORTAMIENTO","ARTER, DENNIS R.","15480.00","https://cuspide.com/producto/auditorias-de-la-calidad-para-mejorar-su-comportamiento/",611,"DIAZ DE SANTOS
","184
","01/01/2004
",84.1304347826087
"612","EN LA ESPIRAL DE LA INNOVACION","CARBALLO, ROBERTO","15480.00","https://cuspide.com/producto/en-la-espiral-de-la-innovacion/",612,"DIAZ DE SANTOS
","192
","01/01/2004
",80.625
"613","LIDERAZGO DE EQUIPOS CON ENTUSIASMO ESTRATEGICO","MALARET, JUAN","15480.00","https://cuspide.com/producto/liderazgo-de-equipos-con-entusiasmo-estrategico/",613,"DIAZ DE SANTOS
","208
","01/01/2003
",74.4230769230769
"614","SISTEMAS DE ALMACENAJE Y PICKING","MAULEON TORRES, MIKEL","59823.00","https://cuspide.com/producto/sistemas-de-almacenaje-y-picking/",614,"DIAZ DE SANTOS
","416
","01/01/2003
",143.805288461538
